participant,condition,trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward
5,abstract,88,0,0.3736170765537388,0.4088798460715259,0.4930187683414504,0.25176477035532496,2,1,0.9252163777159694,1,2,2,1,0.9955294545211472,2,0
5,abstract,89,1,0.3684492753659203,0.4227913513378893,0.4504647355778794,0.2560723316733058,1,2,0.7907218175578237,1,1,2,1,1.2903570318953823,2,0
5,abstract,90,1,0.3808444724179592,0.38989032442516347,0.4230123211293653,0.2782485331654305,2,1,0.6768321476665733,1,1,2,1,0.7033115787880888,1,0
5,abstract,91,1,0.38324740288092574,0.3934218751804721,0.4485201197692909,0.310017536625729,2,1,0.5385917917351435,1,1,2,1,0.9370362769623172,1,1
5,abstract,92,0,0.4077252138211068,0.3573053286002741,0.4648369831446047,0.3124524520607444,2,1,0.6431694073053222,1,2,2,1,1.7738786946788423,2,0
5,abstract,93,1,0.4218977522524934,0.3868062655276321,0.4520045616398512,0.3308723117956259,1,2,0.5824772698301786,1,1,2,1,1.2836004359951405,1,0
5,abstract,94,1,0.4524799746799815,0.40607429831298986,0.4802715546261809,0.3022090473563206,1,2,0.7031470410170186,1,1,2,1,0.874274760598837,1,1
5,abstract,95,1,0.4371382512839417,0.3911639969974894,0.4367060621731267,0.30447083639783845,2,1,0.661728424080593,1,1,2,1,0.8080739226616059,1,1
5,abstract,96,1,0.4129844289713247,0.3702465817771614,0.4507249624823527,0.32002366344053595,1,2,0.7632253260394464,1,1,2,1,1.241645715222603,1,1
5,abstract,97,1,0.4512125731145409,0.3467546423676897,0.4376965824010006,0.29669556508288153,2,1,0.6545207053909508,1,1,1,2,0.8637600135243702,1,1
5,abstract,98,1,0.4467135112223233,0.3657347527049977,0.3955341580849292,0.2951386753631664,1,2,0.7255995156683639,1,1,2,1,0.8810907226911695,1,0
5,abstract,99,1,0.4498817527921013,0.3634047858527945,0.4196240072965712,0.2787124309197821,2,1,1.4158017133022442,1,1,2,1,0.7692499398049222,1,1
5,abstract,100,0,0.44487321195275054,0.3698161074771893,0.4641806479817457,0.27019605274280645,2,1,0.8106531878288479,1,2,1,2,1.7199232639231925,2,1
5,abstract,101,1,0.4591744023107076,0.4104671039772221,0.4431502885434389,0.2813427984934191,1,2,0.7303334421212639,1,1,2,1,1.2599169415743745,1,1
5,abstract,102,1,0.4518521589631706,0.42351861064585256,0.4820042999740157,0.29591736338177616,2,1,0.6165489438094482,1,1,2,1,0.6518100510879776,1,0
5,abstract,103,1,0.4668822471680648,0.3879235327639623,0.4744799670697093,0.3035182733687843,1,2,0.6128314750508252,2,2,2,1,0.9156282856702092,2,1
5,abstract,104,1,0.4836323770712854,0.3942634577200869,0.4536719730748922,0.2861520376977231,1,2,0.5931658965637325,2,2,2,1,0.6180496729284641,2,0
5,abstract,105,0,0.5085780734253756,0.4269111854627736,0.4638937683475123,0.264541140936418,1,2,0.6957681548296932,2,1,1,2,1.728410519930094,2,1
5,abstract,106,1,0.4928218111541474,0.4609342753453933,0.4126532043878528,0.2668765022283877,1,2,0.6573395447844632,2,2,1,2,0.5868456572425202,2,0
5,abstract,107,1,0.4858254070520887,0.4643721968165139,0.4259387603944354,0.2818836449636521,1,2,0.6951886564165761,1,1,2,1,0.8614805928305032,2,1
5,abstract,108,1,0.4681262878389583,0.4396113394159935,0.4415887345270013,0.27387787534341745,1,2,0.8930516543132399,1,1,2,1,0.7519680495370267,2,0
5,abstract,109,1,0.4542567319551307,0.3963876862624258,0.4580897581361625,0.2675211359594305,1,2,0.4974681976509601,2,2,1,2,0.9058087558805709,1,1
5,abstract,110,1,0.4723972578749401,0.3806660236292769,0.4681651395974531,0.2627121434885442,2,1,0.956905870230912,2,2,2,1,0.9632514230561356,1,0
5,abstract,111,1,0.4754021284242507,0.3915005414493681,0.4767804531856564,0.2537234765855829,1,2,0.7213272592980502,2,2,2,1,1.3050231934976182,2,1
5,abstract,112,0,0.4675299457440536,0.3667488677946869,0.4655410744906301,0.2558637448660523,2,1,0.7514144673305054,2,1,1,2,1.8809445673459777,2,1
5,abstract,113,0,0.4858366549123327,0.32670803890515665,0.4365760001919654,0.29917465623098066,2,1,0.7549698091270329,2,1,1,2,0.8920050614951833,2,0
5,abstract,114,0,0.4615806581044828,0.29951525887204555,0.472293104547984,0.3394941340119253,2,1,0.8171671959898958,2,1,1,2,1.3471008655715195,1,0
5,abstract,115,1,0.4564166816676156,0.312301255237323,0.4952688169894022,0.3417741218585075,2,1,0.7301297286903718,2,2,1,2,0.8110464511819373,2,0
5,abstract,116,0,0.4740931391809884,0.3122107429241705,0.4734951910792464,0.2722915487824198,2,1,0.6928872370826866,2,1,1,2,1.475858301036169,1,0
5,abstract,117,1,0.4568158194027854,0.31870963259482243,0.4851342248660103,0.3141579393597185,2,1,0.7241033068175966,2,2,1,2,0.7901866177753618,2,0
5,abstract,118,1,0.4225667381368068,0.2960202749912484,0.4518383549417013,0.3201069118913006,2,1,0.6417910267855405,1,1,2,1,0.9650631466429332,2,1
5,abstract,119,1,0.4349176381856121,0.2808597874122873,0.4316935729666147,0.3276709406621952,1,2,0.8896786300092572,1,1,2,1,0.7500369908630091,2,0
5,abstract,120,0,0.44717496294572107,0.2860000184938247,0.4319601001639639,0.31111609578231625,1,2,0.6076726433657313,1,2,2,1,1.6007813434662241,2,0
5,abstract,121,0,0.4326079755609595,0.3063441507280294,0.4209277459283676,0.2791847275818173,2,1,0.8494298585428623,1,2,1,2,1.5382229378310512,1,0
5,abstract,122,0,0.416847209964601,0.2628666410399918,0.3924135523509079,0.3031229497796112,2,1,0.9792215314246278,1,2,1,2,1.1664368863539494,1,1
5,abstract,123,1,0.4254454007093029,0.3009204350734445,0.3887899054361592,0.3088703830647416,1,2,0.8275261444796342,1,1,1,2,0.6619357537256292,2,0
5,abstract,124,1,0.4163289991385999,0.30870416999852784,0.3808219762287419,0.3192958237827359,1,2,0.7496398099438011,2,2,2,1,1.022171313954459,1,0
5,abstract,125,1,0.3903188932112711,0.2759437171659385,0.4126102731690594,0.33265464528680083,1,2,0.7665145747014321,2,2,2,1,0.6847742593017756,1,0
